Country,Year,Total_cases,Total_deaths
Saint Martin (French part),2021,3132.0,27.0
Saint Martin (French part),2022,8088.0,7.0
Saint Martin (French part),2023,118.0,0.0
Saint Pierre and Miquelon,2020,16.0,0.0
Saint Pierre and Miquelon,2021,82.0,0.0
Saint Pierre and Miquelon,2022,3269.0,2.0
Saint Pierre and Miquelon,2023,59.0,0.0
Saint Vincent and the Grenadines,2020,115.0,0.0
Saint Vincent and the Grenadines,2021,5837.0,83.0
Saint Vincent and the Grenadines,2022,3586.0,36.0
Saint Vincent and the Grenadines,2023,136.0,5.0
Samoa,2020,1.0,0.0
Samoa,2021,1.0,0.0
Samoa,2022,16277.0,29.0
Samoa,2023,683.0,2.0
San Marino,2020,2401.0,59.0
San Marino,2021,5850.0,40.0
San Marino,2022,14918.0,22.0
San Marino,2023,2123.0,5.0
Sao Tome and Principe,2020,1014.0,17.0
Sao Tome and Principe,2021,2863.0,40.0
Sao Tome and Principe,2022,2402.0,20.0
Sao Tome and Principe,2023,457.0,3.0
Saudi Arabia,2020,362601.0,6214.0
Saudi Arabia,2021,192816.0,2661.0
Saudi Arabia,2022,271567.0,640.0
Saudi Arabia,2023,14485.0,131.0
Senegal,2020,18945.0,402.0
Senegal,2021,55925.0,1488.0
Senegal,2022,14030.0,78.0
Senegal,2023,150.0,3.0
Serbia,2020,334991.0,3163.0
Serbia,2021,962156.0,9525.0
Serbia,2022,1148332.0,4827.0
Serbia,2023,122483.0,542.0
Seychelles,2020,226.0,0.0
Seychelles,2021,24562.0,126.0
Seychelles,2022,25567.0,46.0
Seychelles,2023,865.0,0.0
Sierra Leone,2020,2583.0,76.0
Sierra Leone,2021,4400.0,47.0
Sierra Leone,2022,777.0,2.0
Sierra Leone,2023,19.0,0.0
Singapore,2020,58569.0,29.0
Singapore,2021,220836.0,799.0
Singapore,2022,1921974.0,883.0
Singapore,2023,723136.0,243.0
Sint Maarten (Dutch part),2020,1423.0,27.0
Sint Maarten (Dutch part),2021,3631.0,48.0
Sint Maarten (Dutch part),2022,5938.0,14.0
Sint Maarten (Dutch part),2023,59.0,3.0
Slovakia,2020,179543.0,2138.0
Slovakia,2021,662190.0,14497.0
Slovakia,2022,1017453.0,4188.0
Slovakia,2023,16343.0,384.0
Slovenia,2020,115411.0,2881.0
Slovenia,2021,341431.0,3208.0
Slovenia,2022,843961.0,2712.0
Slovenia,2023,53614.0,889.0
Solomon Islands,2020,17.0,0.0
Solomon Islands,2021,7.0,0.0
Solomon Islands,2022,21587.0,153.0
Solomon Islands,2023,4343.0,46.0
Somalia,2020,4714.0,130.0
Somalia,2021,18818.0,1203.0
Somalia,2022,3778.0,28.0
Somalia,2023,24.0,0.0
South Africa,2020,1039161.0,28033.0
South Africa,2021,2407371.0,63028.0
South Africa,2022,602048.0,11507.0
South Africa,2023,24056.0,27.0
South Sudan,2020,3540.0,64.0
South Sudan,2021,12086.0,72.0
South Sudan,2022,2742.0,2.0
South Sudan,2023,451.0,9.0
Spain,2020,1919549.0,53964.0
Spain,2021,4180589.0,37311.0
Spain,2022,7654824.0,27668.0
Spain,2023,225378.0,2909.0
Sri Lanka,2020,43299.0,204.0
Sri Lanka,2021,543946.0,14775.0
Sri Lanka,2022,84639.0,1838.0
Sri Lanka,2023,823.0,73.0
Sudan,2020,25500.0,1561.0
Sudan,2021,21411.0,1776.0
Sudan,2022,16791.0,1658.0
Sudan,2023,291.0,51.0
Suriname,2020,6098.0,120.0
Suriname,2021,45933.0,1069.0
Suriname,2022,29550.0,204.0
Suriname,2023,914.0,11.0
Sweden,2020,447759.0,9706.0
Sweden,2021,878413.0,5639.0
Sweden,2022,1354059.0,6961.0
Sweden,2023,66386.0,4380.0
Switzerland,2020,451142.0,7528.0
Switzerland,2021,883690.0,4393.0
Switzerland,2022,3045631.0,1961.0
Switzerland,2023,66478.0,288.0
Syrian Arab Republic,2020,11344.0,704.0
Syrian Arab Republic,2021,38899.0,2189.0
Syrian Arab Republic,2022,7180.0,270.0
Syrian Arab Republic,2023,0.0,0.0
Tajikistan,2020,13665.0,90.0
Tajikistan,2021,3828.0,35.0
Tajikistan,2022,293.0,0.0
Tajikistan,2023,0.0,0.0
Thailand,2020,6884.0,61.0
Thailand,2021,2216551.0,21637.0
Thailand,2022,2500484.0,11971.0
Thailand,2023,38456.0,848.0
Timor-Leste,2020,44.0,0.0
Timor-Leste,2021,19793.0,122.0
Timor-Leste,2022,3560.0,16.0
Timor-Leste,2023,63.0,0.0
Togo,2020,3611.0,68.0
Togo,2021,26552.0,180.0
Togo,2022,9180.0,42.0
Togo,2023,184.0,0.0
Tokelau,2020,0.0,0.0
Tokelau,2021,0.0,0.0
Tokelau,2022,5.0,0.0
Tokelau,2023,75.0,0.0
Tonga,2020,0.0,0.0
Tonga,2021,1.0,0.0
Tonga,2022,16411.0,12.0
Tonga,2023,537.0,0.0
Trinidad and Tobago,2020,7132.0,126.0
Trinidad and Tobago,2021,83697.0,2699.0
Trinidad and Tobago,2022,95204.0,1458.0
Trinidad and Tobago,2023,5463.0,107.0
Tunisia,2020,137216.0,4620.0
Tunisia,2021,588626.0,20944.0
Tunisia,2022,421729.0,3720.0
Tunisia,2023,5790.0,139.0
Turkmenistan,2020,0.0,0.0
Turkmenistan,2021,0.0,0.0
Turkmenistan,2022,0.0,0.0
Turkmenistan,2023,0.0,0.0
Turks and Caicos Islands,2020,865.0,6.0
Turks and Caicos Islands,2021,2418.0,20.0
Turks and Caicos Islands,2022,3196.0,10.0
Turks and Caicos Islands,2023,231.0,4.0
Tuvalu,2020,0.0,0.0
Tuvalu,2021,0.0,0.0
Tuvalu,2022,2779.0,0.0
Tuvalu,2023,164.0,1.0
Türkiye,2020,2194272.0,20642.0
Türkiye,2021,7247492.0,61462.0
Türkiye,2022,7562913.0,19315.0
Türkiye,2023,10.0,0.0
Uganda,2020,35220.0,304.0
Uganda,2021,107451.0,2993.0
Uganda,2022,27219.0,333.0
Uganda,2023,1998.0,2.0
Ukraine,2020,988108.0,15278.0
Ukraine,2021,2617976.0,77255.0
Ukraine,2022,1709592.0,15716.0
Ukraine,2023,210004.0,1669.0
United Arab Emirates,2020,206092.0,665.0
United Arab Emirates,2021,553419.0,1497.0
United Arab Emirates,2022,287407.0,186.0
United Arab Emirates,2023,20112.0,1.0
United Kingdom of Great Britain and Northern Ireland,2020,2563561.0,93317.0
United Kingdom of Great Britain and Northern Ireland,2021,10878146.0,83496.0
United Kingdom of Great Britain and Northern Ireland,2022,10752848.0,39346.0
United Kingdom of Great Britain and Northern Ireland,2023,670731.0,15953.0
United Republic of Tanzania,2020,509.0,21.0
United Republic of Tanzania,2021,28797.0,716.0
United Republic of Tanzania,2022,13090.0,108.0
United Republic of Tanzania,2023,827.0,1.0
United States Virgin Islands,2020,2010.0,23.0
United States Virgin Islands,2021,7045.0,66.0
United States Virgin Islands,2022,14714.0,38.0
United States Virgin Islands,2023,1620.0,5.0
United States of America,2020,19577585.0,352004.0
United States of America,2021,33956701.0,467051.0
United States of America,2022,45877410.0,263401.0
United States of America,2023,4025133.0,82041.0
Uruguay,2020,17962.0,168.0
Uruguay,2021,392349.0,6000.0
Uruguay,2022,601677.0,1394.0
Uruguay,2023,25905.0,63.0
Uzbekistan,2020,9.0,0.0
Uzbekistan,2021,116776.0,860.0
Uzbekistan,2022,50507.0,156.0
Uzbekistan,2023,7789.0,0.0
Vanuatu,2020,1.0,0.0
Vanuatu,2021,6.0,0.0
Vanuatu,2022,12007.0,14.0
Vanuatu,2023,5.0,0.0
Venezuela (Bolivarian Republic of),2020,112861.0,1021.0
Venezuela (Bolivarian Republic of),2021,331325.0,4300.0
Venezuela (Bolivarian Republic of),2022,106202.0,510.0
Venezuela (Bolivarian Republic of),2023,2307.0,25.0
Viet Nam,2020,1456.0,35.0
Viet Nam,2021,1729801.0,32359.0
Viet Nam,2022,9793887.0,10792.0
Viet Nam,2023,98856.0,20.0
Wallis and Futuna,2020,4.0,0.0
Wallis and Futuna,2021,449.0,7.0
Wallis and Futuna,2022,2974.0,0.0
Wallis and Futuna,2023,123.0,1.0
Yemen,2020,2101.0,611.0
Yemen,2021,8025.0,1373.0
Yemen,2022,1819.0,175.0
Yemen,2023,0.0,0.0
Zambia,2020,20462.0,386.0
Zambia,2021,228731.0,3344.0
Zambia,2022,85003.0,293.0
Zambia,2023,15108.0,46.0
Zimbabwe,2020,13625.0,360.0
Zimbabwe,2021,198103.0,4637.0
Zimbabwe,2022,48372.0,640.0
Zimbabwe,2023,5971.0,94.0
"occupied Palestinian territory, including east Jerusalem",2020,154097.0,1500.0
"occupied Palestinian territory, including east Jerusalem",2021,316206.0,3431.0
"occupied Palestinian territory, including east Jerusalem",2022,232925.0,777.0
"occupied Palestinian territory, including east Jerusalem",2023,0.0,0.0
